Date,Open,High,Low,Close,Volume
30-Dec-16,116.65,117.2,115.43,115.82,30586265
29-Dec-16,116.45,117.11,116.4,116.73,15039519
28-Dec-16,117.52,118.02,116.2,116.76,20905892
27-Dec-16,116.52,117.8,116.49,117.26,18296855
23-Dec-16,115.59,116.52,115.59,116.52,14249484
22-Dec-16,116.35,116.51,115.64,116.29,26085854
21-Dec-16,116.8,117.4,116.78,117.06,23783165
20-Dec-16,116.74,117.5,116.68,116.95,21424965
19-Dec-16,115.8,117.38,115.75,116.64,27779423
16-Dec-16,116.47,116.5,115.64,115.97,44351134
15-Dec-16,115.38,116.73,115.23,115.82,46524544
14-Dec-16,115.04,116.2,114.98,115.19,34031834
13-Dec-16,113.84,115.92,113.75,115.19,43733811
12-Dec-16,113.29,115,112.49,113.3,26374377
9-Dec-16,112.31,114.7,112.31,113.95,34402627
8-Dec-16,110.86,112.43,110.6,112.12,27068316
7-Dec-16,109.26,111.19,109.16,111.03,29998719
6-Dec-16,109.5,110.36,109.19,109.95,26195462
5-Dec-16,110,110.03,108.25,109.11,34324540
2-Dec-16,109.17,110.09,108.85,109.9,26527997
1-Dec-16,110.36,110.94,109.03,109.49,37086862
